concern_instance_id,record_id,sample_id,provider,thread_id,record_type,topic,necessity,gap_detected,gap_types
GT_CONCERN_000017,RECORD_000027,GT_SAMPLE_000027,chatgpt,Chatgpt_POST_000009,comment,A1.1_PRIVACY_INPUT_CONTENT,False,False,
GT_CONCERN_000018,RECORD_000028,GT_SAMPLE_000028,chatgpt,Chatgpt_POST_000009,comment,D1.2_PRIVACY_VULNERABLE_POPULATION,True,True,PRIVACY_VULNERABLE_GROUP_NEGLECTED
GT_CONCERN_000019,RECORD_000028,GT_SAMPLE_000028,chatgpt,Chatgpt_POST_000009,comment,A4.1_PRIVACY_THIRD_PARTY_SHARING,True,True,PRIVACY_VULNERABLE_GROUP_NEGLECTED
GT_CONCERN_000020,RECORD_000033,GT_SAMPLE_000033,chatgpt,Chatgpt_POST_000009,comment,A1.1_PRIVACY_INPUT_CONTENT,True,False,
GT_CONCERN_000021,RECORD_000033,GT_SAMPLE_000033,chatgpt,Chatgpt_POST_000009,comment,A3.1_PRIVACY_RETENTION_DURATION,True,False,
GT_CONCERN_000022,RECORD_000035,GT_SAMPLE_000035,chatgpt,Chatgpt_POST_000010,post,C1.2_PRIVACY_MEMORY_PERSONALIZATION,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000023,RECORD_000036,GT_SAMPLE_000036,chatgpt,Chatgpt_POST_000010,comment,C1.2_PRIVACY_MEMORY_PERSONALIZATION,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000024,RECORD_000037,GT_SAMPLE_000037,chatgpt,Chatgpt_POST_000010,comment,C1.1_PRIVACY_OUTPUT_RISK,True,True,PRIVACY_POLICY_DETAIL_VAGUE
GT_CONCERN_000025,RECORD_000042,GT_SAMPLE_000042,chatgpt,Chatgpt_POST_000011,post,A2.2_PRIVACY_MODEL_TRAINING,True,True,PRIVACY_EXPLICIT_POLICY_DISTRUST
GT_CONCERN_000026,RECORD_000042,GT_SAMPLE_000042,chatgpt,Chatgpt_POST_000011,post,B1.2_PRIVACY_GRANULAR_CONTROL,True,True,PRIVACY_EXPLICIT_POLICY_DISTRUST
GT_CONCERN_000027,RECORD_000045,GT_SAMPLE_000045,chatgpt,Chatgpt_POST_000011,comment,B1.2_PRIVACY_GRANULAR_CONTROL,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000028,RECORD_000046,GT_SAMPLE_000046,chatgpt,Chatgpt_POST_000011,comment,D1.1_PRIVACY_JURISDICTION_LAW,True,True,PRIVACY_EXPLICIT_POLICY_DISTRUST
GT_CONCERN_000029,RECORD_000047,GT_SAMPLE_000047,chatgpt,Chatgpt_POST_000012,post,A3.1_PRIVACY_RETENTION_DURATION,True,True,PRIVACY_POLICY_DETAIL_VAGUE
GT_CONCERN_000030,RECORD_000049,GT_SAMPLE_000049,chatgpt,Chatgpt_POST_000012,comment,A3.1_PRIVACY_RETENTION_DURATION,True,True,PRIVACY_POLICY_DETAIL_VAGUE
GT_CONCERN_000031,RECORD_000050,GT_SAMPLE_000050,chatgpt,Chatgpt_POST_000013,post,A1.1_PRIVACY_INPUT_CONTENT,True,False,
GT_CONCERN_000032,RECORD_000051,GT_SAMPLE_000051,chatgpt,Chatgpt_POST_000013,comment,A2.2_PRIVACY_MODEL_TRAINING,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000033,RECORD_000051,GT_SAMPLE_000051,chatgpt,Chatgpt_POST_000013,comment,A3.2_PRIVACY_DELETION_MECHANISM,True,True,PRIVACY_EXPLICIT_POLICY_DISTRUST
GT_CONCERN_000034,RECORD_000051,GT_SAMPLE_000051,chatgpt,Chatgpt_POST_000013,comment,B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,True,False,
GT_CONCERN_000035,RECORD_000052,GT_SAMPLE_000052,chatgpt,Chatgpt_POST_000013,comment,B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000036,RECORD_000053,GT_SAMPLE_000053,chatgpt,Chatgpt_POST_000013,comment,A2.2_PRIVACY_MODEL_TRAINING,True,False,
GT_CONCERN_000037,RECORD_000054,GT_SAMPLE_000054,chatgpt,Chatgpt_POST_000013,comment,A4.1_PRIVACY_THIRD_PARTY_SHARING,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000038,RECORD_000054,GT_SAMPLE_000054,chatgpt,Chatgpt_POST_000013,comment,C1.2_PRIVACY_MEMORY_PERSONALIZATION,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000039,RECORD_000056,GT_SAMPLE_000056,chatgpt,Chatgpt_POST_000014,comment,A2.1_PRIVACY_SERVICE_PROVISION,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000040,RECORD_000056,GT_SAMPLE_000056,chatgpt,Chatgpt_POST_000014,comment,B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000041,RECORD_000060,GT_SAMPLE_000060,chatgpt,Chatgpt_POST_000015,post,A3.2_PRIVACY_DELETION_MECHANISM,True,True,PRIVACY_EXPLICIT_POLICY_DISTRUST
GT_CONCERN_000042,RECORD_000060,GT_SAMPLE_000060,chatgpt,Chatgpt_POST_000015,post,A3.1_PRIVACY_RETENTION_DURATION,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000043,RECORD_000060,GT_SAMPLE_000060,chatgpt,Chatgpt_POST_000015,post,B1.4_PRIVACY_POLICY_CHANGE_NOTIFICATION,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000044,RECORD_000060,GT_SAMPLE_000060,chatgpt,Chatgpt_POST_000015,post,A4.1_PRIVACY_THIRD_PARTY_SHARING,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000045,RECORD_000060,GT_SAMPLE_000060,chatgpt,Chatgpt_POST_000015,post,D1.1_PRIVACY_JURISDICTION_LAW,True,False,
GT_CONCERN_000046,RECORD_000061,GT_SAMPLE_000061,chatgpt,Chatgpt_POST_000015,comment,A2.2_PRIVACY_MODEL_TRAINING,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000047,RECORD_000062,GT_SAMPLE_000062,chatgpt,Chatgpt_POST_000016,post,C1.1_PRIVACY_OUTPUT_RISK,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000048,RECORD_000063,GT_SAMPLE_000063,chatgpt,Chatgpt_POST_000016,comment,C1.1_PRIVACY_OUTPUT_RISK,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000049,RECORD_000069,GT_SAMPLE_000069,chatgpt,Chatgpt_POST_000017,comment,A2.2_PRIVACY_MODEL_TRAINING,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000050,RECORD_000069,GT_SAMPLE_000069,chatgpt,Chatgpt_POST_000017,comment,B1.2_PRIVACY_GRANULAR_CONTROL,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000051,RECORD_000069,GT_SAMPLE_000069,chatgpt,Chatgpt_POST_000017,comment,A3.1_PRIVACY_RETENTION_DURATION,True,True,PRIVACY_POLICY_DETAIL_VAGUE
GT_CONCERN_000052,RECORD_000073,GT_SAMPLE_000073,chatgpt,Chatgpt_POST_000018,comment,A1.1_PRIVACY_INPUT_CONTENT,True,False,
GT_CONCERN_000053,RECORD_000074,GT_SAMPLE_000074,chatgpt,Chatgpt_POST_000018,comment,B1.2_PRIVACY_GRANULAR_CONTROL,True,False,
GT_CONCERN_000054,RECORD_000075,GT_SAMPLE_000075,chatgpt,Chatgpt_POST_000019,post,C1.2_PRIVACY_MEMORY_PERSONALIZATION,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000055,RECORD_000077,GT_SAMPLE_000077,chatgpt,Chatgpt_POST_000020,comment,C1.1_PRIVACY_OUTPUT_RISK,True,True,PRIVACY_POLICY_DETAIL_VAGUE
GT_CONCERN_000056,RECORD_000078,GT_SAMPLE_000078,chatgpt,Chatgpt_POST_000021,post,A3.1_PRIVACY_RETENTION_DURATION,True,True,PRIVACY_POLICY_DETAIL_VAGUE
GT_CONCERN_000057,RECORD_000079,GT_SAMPLE_000079,chatgpt,Chatgpt_POST_000022,post,B1.2_PRIVACY_GRANULAR_CONTROL,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000058,RECORD_000082,GT_SAMPLE_000082,chatgpt,Chatgpt_POST_000022,comment,B1.2_PRIVACY_GRANULAR_CONTROL,True,False,
GT_CONCERN_000059,RECORD_000087,GT_SAMPLE_000087,chatgpt,Chatgpt_POST_000023,comment,C1.1_PRIVACY_OUTPUT_RISK,False,False,
GT_CONCERN_000060,RECORD_000090,GT_SAMPLE_000090,chatgpt,Chatgpt_POST_000023,comment,D2.1_PRIVACY_DATA_SECURITY,True,False,
GT_CONCERN_000061,RECORD_000090,GT_SAMPLE_000090,chatgpt,Chatgpt_POST_000023,comment,B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,True,False,
GT_CONCERN_000062,RECORD_000097,GT_SAMPLE_000097,chatgpt,Chatgpt_POST_000024,post,A3.1_PRIVACY_RETENTION_DURATION,True,True,PRIVACY_POLICY_DETAIL_VAGUE
GT_CONCERN_000063,RECORD_000099,GT_SAMPLE_000099,chatgpt,Chatgpt_POST_000026,post,B1.2_PRIVACY_GRANULAR_CONTROL,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000064,RECORD_000101,GT_SAMPLE_000101,chatgpt,Chatgpt_POST_000026,comment,B1.1_PRIVACY_CONSENT_MECHANISM,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000065,RECORD_000102,GT_SAMPLE_000102,chatgpt,Chatgpt_POST_000027,post,D2.1_PRIVACY_DATA_SECURITY,True,False,
GT_CONCERN_000066,RECORD_000103,GT_SAMPLE_000103,chatgpt,Chatgpt_POST_000027,comment,D2.1_PRIVACY_DATA_SECURITY,False,False,
GT_CONCERN_000067,RECORD_000105,GT_SAMPLE_000105,chatgpt,Chatgpt_POST_000028,post,A1.1_PRIVACY_INPUT_CONTENT,True,True,PRIVACY_POLICY_DETAIL_VAGUE
GT_CONCERN_000068,RECORD_000106,GT_SAMPLE_000106,chatgpt,Chatgpt_POST_000028,comment,A1.1_PRIVACY_INPUT_CONTENT,True,False,
GT_CONCERN_000069,RECORD_000108,GT_SAMPLE_000108,chatgpt,Chatgpt_POST_000029,comment,A3.1_PRIVACY_RETENTION_DURATION,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000070,RECORD_000109,GT_SAMPLE_000109,chatgpt,Chatgpt_POST_000029,comment,A3.1_PRIVACY_RETENTION_DURATION,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000071,RECORD_000109,GT_SAMPLE_000109,chatgpt,Chatgpt_POST_000029,comment,B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000072,RECORD_000111,GT_SAMPLE_000111,chatgpt,Chatgpt_POST_000030,comment,A3.1_PRIVACY_RETENTION_DURATION,True,True,PRIVACY_POLICY_DETAIL_VAGUE
GT_CONCERN_000073,RECORD_000112,GT_SAMPLE_000112,chatgpt,Chatgpt_POST_000031,post,A3.2_PRIVACY_DELETION_MECHANISM,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000074,RECORD_000112,GT_SAMPLE_000112,chatgpt,Chatgpt_POST_000031,post,C1.2_PRIVACY_MEMORY_PERSONALIZATION,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000075,RECORD_000113,GT_SAMPLE_000113,chatgpt,Chatgpt_POST_000031,comment,A3.1_PRIVACY_RETENTION_DURATION,True,False,
GT_CONCERN_000076,RECORD_000114,GT_SAMPLE_000114,chatgpt,Chatgpt_POST_000031,comment,C1.2_PRIVACY_MEMORY_PERSONALIZATION,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000077,RECORD_000116,GT_SAMPLE_000116,chatgpt,Chatgpt_POST_000031,comment,A3.2_PRIVACY_DELETION_MECHANISM,True,True,PRIVACY_POLICY_DETAIL_VAGUE
GT_CONCERN_000078,RECORD_000116,GT_SAMPLE_000116,chatgpt,Chatgpt_POST_000031,comment,A1.1_PRIVACY_INPUT_CONTENT,True,False,
GT_CONCERN_000079,RECORD_000117,GT_SAMPLE_000117,chatgpt,Chatgpt_POST_000031,comment,D1.1_PRIVACY_JURISDICTION_LAW,True,False,
GT_CONCERN_000080,RECORD_000119,GT_SAMPLE_000119,chatgpt,Chatgpt_POST_000031,comment,B1.2_PRIVACY_GRANULAR_CONTROL,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000081,RECORD_000120,GT_SAMPLE_000120,chatgpt,Chatgpt_POST_000031,comment,B1.2_PRIVACY_GRANULAR_CONTROL,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000082,RECORD_000124,GT_SAMPLE_000124,chatgpt,Chatgpt_POST_000032,post,A3.1_PRIVACY_RETENTION_DURATION,True,True,PRIVACY_POLICY_DETAIL_VAGUE
GT_CONCERN_000083,RECORD_000125,GT_SAMPLE_000125,chatgpt,Chatgpt_POST_000033,post,A4.1_PRIVACY_THIRD_PARTY_SHARING,False,False,
GT_CONCERN_000084,RECORD_000125,GT_SAMPLE_000125,chatgpt,Chatgpt_POST_000033,post,B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,False,False,
GT_CONCERN_000085,RECORD_000128,GT_SAMPLE_000128,chatgpt,Chatgpt_POST_000033,comment,A4.1_PRIVACY_THIRD_PARTY_SHARING,True,False,
GT_CONCERN_000086,RECORD_000130,GT_SAMPLE_000130,chatgpt,Chatgpt_POST_000034,comment,B1.2_PRIVACY_GRANULAR_CONTROL,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000087,RECORD_000131,GT_SAMPLE_000131,chatgpt,Chatgpt_POST_000034,comment,B1.1_PRIVACY_CONSENT_MECHANISM,False,False,
GT_CONCERN_000088,RECORD_000132,GT_SAMPLE_000132,chatgpt,Chatgpt_POST_000034,comment,A1.2_PRIVACY_BEHAVIORAL_METADATA,True,False,
GT_CONCERN_000089,RECORD_000132,GT_SAMPLE_000132,chatgpt,Chatgpt_POST_000034,comment,D1.1_PRIVACY_JURISDICTION_LAW,True,False,
GT_CONCERN_000090,RECORD_000134,GT_SAMPLE_000134,chatgpt,Chatgpt_POST_000035,comment,A3.1_PRIVACY_RETENTION_DURATION,True,True,PRIVACY_POLICY_DETAIL_VAGUE
GT_CONCERN_000091,RECORD_000135,GT_SAMPLE_000135,chatgpt,Chatgpt_POST_000036,post,A3.1_PRIVACY_RETENTION_DURATION,False,False,
GT_CONCERN_000092,RECORD_000137,GT_SAMPLE_000137,chatgpt,Chatgpt_POST_000036,comment,C1.2_PRIVACY_MEMORY_PERSONALIZATION,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000093,RECORD_000138,GT_SAMPLE_000138,chatgpt,Chatgpt_POST_000036,comment,A3.1_PRIVACY_RETENTION_DURATION,True,True,PRIVACY_POLICY_DETAIL_VAGUE
GT_CONCERN_000094,RECORD_000139,GT_SAMPLE_000139,chatgpt,Chatgpt_POST_000036,comment,B1.2_PRIVACY_GRANULAR_CONTROL,False,False,
GT_CONCERN_000095,RECORD_000141,GT_SAMPLE_000141,chatgpt,Chatgpt_POST_000036,comment,B1.2_PRIVACY_GRANULAR_CONTROL,False,False,
GT_CONCERN_000096,RECORD_000143,GT_SAMPLE_000143,chatgpt,Chatgpt_POST_000037,post,B1.2_PRIVACY_GRANULAR_CONTROL,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000097,RECORD_000143,GT_SAMPLE_000143,chatgpt,Chatgpt_POST_000037,post,C1.2_PRIVACY_MEMORY_PERSONALIZATION,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000098,RECORD_000144,GT_SAMPLE_000144,chatgpt,Chatgpt_POST_000037,comment,C1.1_PRIVACY_OUTPUT_RISK,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000099,RECORD_000144,GT_SAMPLE_000144,chatgpt,Chatgpt_POST_000037,comment,C1.2_PRIVACY_MEMORY_PERSONALIZATION,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000100,RECORD_000146,GT_SAMPLE_000146,chatgpt,Chatgpt_POST_000037,comment,B1.1_PRIVACY_CONSENT_MECHANISM,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000101,RECORD_000147,GT_SAMPLE_000147,chatgpt,Chatgpt_POST_000038,post,A1.1_PRIVACY_INPUT_CONTENT,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000102,RECORD_000147,GT_SAMPLE_000147,chatgpt,Chatgpt_POST_000038,post,B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000103,RECORD_000148,GT_SAMPLE_000148,chatgpt,Chatgpt_POST_000039,post,C1.1_PRIVACY_OUTPUT_RISK,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000104,RECORD_000148,GT_SAMPLE_000148,chatgpt,Chatgpt_POST_000039,post,C1.2_PRIVACY_MEMORY_PERSONALIZATION,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000105,RECORD_000148,GT_SAMPLE_000148,chatgpt,Chatgpt_POST_000039,post,D2.1_PRIVACY_DATA_SECURITY,True,False,
GT_CONCERN_000106,RECORD_000152,GT_SAMPLE_000152,chatgpt,Chatgpt_POST_000040,post,A1.2_PRIVACY_BEHAVIORAL_METADATA,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000107,RECORD_000152,GT_SAMPLE_000152,chatgpt,Chatgpt_POST_000040,post,C1.1_PRIVACY_OUTPUT_RISK,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000108,RECORD_000152,GT_SAMPLE_000152,chatgpt,Chatgpt_POST_000040,post,B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,True,False,
GT_CONCERN_000109,RECORD_000152,GT_SAMPLE_000152,chatgpt,Chatgpt_POST_000040,post,B1.2_PRIVACY_GRANULAR_CONTROL,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000110,RECORD_000154,GT_SAMPLE_000154,chatgpt,Chatgpt_POST_000040,comment,A1.2_PRIVACY_BEHAVIORAL_METADATA,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000111,RECORD_000156,GT_SAMPLE_000156,chatgpt,Chatgpt_POST_000040,comment,B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000112,RECORD_000157,GT_SAMPLE_000157,chatgpt,Chatgpt_POST_000040,comment,B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,True,True,PRIVACY_EXPLICIT_POLICY_DISTRUST
GT_CONCERN_000113,RECORD_000158,GT_SAMPLE_000158,chatgpt,Chatgpt_POST_000041,post,B1.1_PRIVACY_CONSENT_MECHANISM,False,False,
GT_CONCERN_000114,RECORD_000161,GT_SAMPLE_000161,chatgpt,Chatgpt_POST_000041,comment,B1.1_PRIVACY_CONSENT_MECHANISM,False,False,
GT_CONCERN_000115,RECORD_000165,GT_SAMPLE_000165,chatgpt,Chatgpt_POST_000041,comment,B1.1_PRIVACY_CONSENT_MECHANISM,True,False,
GT_CONCERN_000116,RECORD_000166,GT_SAMPLE_000166,chatgpt,Chatgpt_POST_000041,comment,A1.1_PRIVACY_INPUT_CONTENT,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000117,RECORD_000167,GT_SAMPLE_000167,chatgpt,Chatgpt_POST_000041,comment,B1.1_PRIVACY_CONSENT_MECHANISM,True,False,
GT_CONCERN_000118,RECORD_000169,GT_SAMPLE_000169,chatgpt,Chatgpt_POST_000041,comment,B1.1_PRIVACY_CONSENT_MECHANISM,False,False,
GT_CONCERN_000119,RECORD_000173,GT_SAMPLE_000173,chatgpt,Chatgpt_POST_000041,comment,A1.1_PRIVACY_INPUT_CONTENT,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000120,RECORD_000174,GT_SAMPLE_000174,chatgpt,Chatgpt_POST_000041,comment,C1.1_PRIVACY_OUTPUT_RISK,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000121,RECORD_000176,GT_SAMPLE_000176,chatgpt,Chatgpt_POST_000041,comment,A1.1_PRIVACY_INPUT_CONTENT,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000122,RECORD_000177,GT_SAMPLE_000177,chatgpt,Chatgpt_POST_000041,comment,B1.1_PRIVACY_CONSENT_MECHANISM,True,False,
GT_CONCERN_000123,RECORD_000178,GT_SAMPLE_000178,chatgpt,Chatgpt_POST_000041,comment,B1.1_PRIVACY_CONSENT_MECHANISM,False,False,
GT_CONCERN_000124,RECORD_000178,GT_SAMPLE_000178,chatgpt,Chatgpt_POST_000041,comment,B1.2_PRIVACY_GRANULAR_CONTROL,False,False,
GT_CONCERN_000125,RECORD_000180,GT_SAMPLE_000180,chatgpt,Chatgpt_POST_000042,post,B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000126,RECORD_000181,GT_SAMPLE_000181,chatgpt,Chatgpt_POST_000042,comment,B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000127,RECORD_000183,GT_SAMPLE_000183,chatgpt,Chatgpt_POST_000042,comment,B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,True,False,
GT_CONCERN_000128,RECORD_000186,GT_SAMPLE_000186,chatgpt,Chatgpt_POST_000042,comment,B1.1_PRIVACY_CONSENT_MECHANISM,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000129,RECORD_000186,GT_SAMPLE_000186,chatgpt,Chatgpt_POST_000042,comment,B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000130,RECORD_000187,GT_SAMPLE_000187,chatgpt,Chatgpt_POST_000042,comment,B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
GT_CONCERN_000131,RECORD_000187,GT_SAMPLE_000187,chatgpt,Chatgpt_POST_000042,comment,A1.1_PRIVACY_INPUT_CONTENT,True,False,
GT_CONCERN_000132,RECORD_000188,GT_SAMPLE_000188,chatgpt,Chatgpt_POST_000043,post,C1.2_PRIVACY_MEMORY_PERSONALIZATION,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000133,RECORD_000188,GT_SAMPLE_000188,chatgpt,Chatgpt_POST_000043,post,B1.3_PRIVACY_TRANSPARENCY_DISCLOSURE,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000134,RECORD_000189,GT_SAMPLE_000189,chatgpt,Chatgpt_POST_000043,comment,A3.2_PRIVACY_DELETION_MECHANISM,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000135,RECORD_000190,GT_SAMPLE_000190,chatgpt,Chatgpt_POST_000043,comment,C1.2_PRIVACY_MEMORY_PERSONALIZATION,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000136,RECORD_000190,GT_SAMPLE_000190,chatgpt,Chatgpt_POST_000043,comment,B1.2_PRIVACY_GRANULAR_CONTROL,True,True,PRIVACY_AI_FEATURE_UNADDRESSED
GT_CONCERN_000137,RECORD_000191,GT_SAMPLE_000191,chatgpt,Chatgpt_POST_000044,post,A1.2_PRIVACY_BEHAVIORAL_METADATA,True,True,PRIVACY_POLICY_AWARENESS_DEFICIT
